"Locatie";"Tagnaam";"Datum";"Tijd (Europe/Amsterdam)";"Waarde";"Valid flag"
"DYLP029A";"B1_mwf";"2016-09-10";"14:00:00";"1037,47";""
"DYLP029A";"B1_mwf";"2016-09-10";"15:00:00";"1042,28";""
"DYLP029A";"B1_mwf";"2016-09-10";"18:00:00";"1039,53";""
"DYLP029A";"B1_mwf";"2016-09-10";"21:00:00";"1016,15";""
"DYLP029A";"B1_mwf";"2016-09-11";"00:00:00";"1002,5";""
"DYLP029A";"B1_mwf";"2016-09-11";"03:00:00";"997,7";""
"DYLP029A";"B1_mwf";"2016-09-11";"06:00:00";"997,8";""
"DYLP029A";"B1_mwf";"2016-09-11";"08:00:00";"1001,78";""
"DYLP029A";"B1_mwf";"2016-09-11";"09:00:00";"1004,13";""
"DYLP029A";"B1_mwf";"2016-09-11";"10:00:00";"1008,4";""
"DYLP029A";"B1_mwf";"2016-09-11";"11:00:00";"1012,28";""
"DYLP029A";"B1_mwf";"2016-09-11";"12:00:00";"1016,38";""
"DYLP029A";"B1_mwf";"2016-09-11";"13:00:00";"1019,33";""
"DYLP029A";"B1_mwf";"2016-09-11";"14:00:00";"1021,98";""
"DYLP029A";"B1_mwf";"2016-09-11";"15:00:00";"1024,72";""
"DYLP029A";"B1_mwf";"2016-09-11";"16:00:00";"1028,2";""
"DYLP029A";"B1_mwf";"2016-09-11";"17:00:00";"1030,45";""
"DYLP029A";"B1_mwf";"2016-09-11";"18:00:00";"1031,78";""
"DYLP029A";"B1_mwf";"2016-09-11";"21:00:00";"1026,45";""
"DYLP029A";"B1_mwf";"2016-09-12";"00:00:00";"1018,6";""
"DYLP029A";"B1_mwf";"2016-09-12";"03:00:00";"1013,1";""
"DYLP029A";"B1_mwf";"2016-09-12";"06:00:00";"1000,98";""
"DYLP029A";"B1_mwf";"2016-09-12";"08:00:00";"996,18";""
"DYLP029A";"B1_mwf";"2016-09-12";"09:00:00";"998,33";""
"DYLP029A";"B1_mwf";"2016-09-12";"10:00:00";"1005,88";""
"DYLP029A";"B1_mwf";"2016-09-12";"11:00:00";"1015,55";""
"DYLP029A";"B1_mwf";"2016-09-12";"12:00:00";"1024,93";""
"DYLP029A";"B1_mwf";"2016-09-12";"13:00:00";"1033,5";""
"DYLP029A";"B1_mwf";"2016-09-12";"14:00:00";"1043,5";""
"DYLP029A";"B1_mwf";"2016-09-12";"15:00:00";"1046,25";""
"DYLP029A";"B1_mwf";"2016-09-12";"18:00:00";"1047,38";""
"DYLP029A";"B1_mwf";"2016-09-12";"21:00:00";"1028";""
"DYLP029A";"B1_mwf";"2016-09-13";"00:00:00";"1011,8";""
"DYLP029A";"B1_mwf";"2016-09-13";"03:00:00";"1003,1";""
"DYLP029A";"B1_mwf";"2016-09-13";"06:00:00";"998,33";""
"DYLP029A";"B1_mwf";"2016-09-13";"08:00:00";"995,98";""
"DYLP029A";"B1_mwf";"2016-09-13";"09:00:00";"997,8";""
"DYLP029A";"B1_mwf";"2016-09-13";"10:00:00";"1004,75";""
"DYLP029A";"B1_mwf";"2016-09-13";"11:00:00";"1017,18";""
"DYLP029A";"B1_mwf";"2016-09-13";"12:00:00";"1029,93";""
"DYLP029A";"B1_mwf";"2016-09-13";"13:00:00";"1042,68";""
"DYLP029A";"B1_mwf";"2016-09-13";"15:00:00";"1060,53";""
"DYLP029A";"B1_mwf";"2016-09-13";"18:00:00";"1062,45";""
"DYLP029A";"B1_mwf";"2016-09-13";"21:00:00";"1034,2";""
"DYLP029A";"B1_mwf";"2016-09-14";"00:00:00";"1013,4";""
"DYLP029A";"B1_mwf";"2016-09-14";"03:00:00";"1004,53";""
"DYLP029A";"B1_mwf";"2016-09-14";"06:00:00";"999,13";""
"DYLP029A";"B1_mwf";"2016-09-14";"08:00:00";"996,68";""
"DYLP029A";"B1_mwf";"2016-09-14";"09:00:00";"998,43";""
"DYLP029A";"B1_mwf";"2016-09-14";"10:00:00";"1005,25";""
"DYLP029A";"B1_mwf";"2016-09-14";"11:00:00";"1016,98";""
"DYLP029A";"B1_mwf";"2016-09-14";"12:00:00";"1028,8";""
"DYLP029A";"B1_mwf";"2016-09-14";"13:00:00";"1039,72";""
"DYLP029A";"B1_mwf";"2016-09-14";"15:00:00";"1053,58";""
"DYLP029A";"B1_mwf";"2016-09-14";"18:00:00";"1051,65";""
"DYLP029A";"B1_mwf";"2016-09-14";"21:00:00";"1031,97";""
"DYLP029A";"B1_mwf";"2016-09-15";"00:00:00";"1014,23";""
"DYLP029A";"B1_mwf";"2016-09-15";"03:00:00";"1004,33";""
"DYLP029A";"B1_mwf";"2016-09-15";"06:00:00";"997,2";""
"DYLP029A";"B1_mwf";"2016-09-15";"08:00:00";"993,43";""
"DYLP029A";"B1_mwf";"2016-09-15";"09:00:00";"994,65";""
"DYLP029A";"B1_mwf";"2016-09-15";"10:00:00";"1002,2";""
"DYLP029A";"B1_mwf";"2016-09-15";"11:00:00";"1012,4";""
"DYLP029A";"B1_mwf";"2016-09-15";"12:00:00";"1021,98";""
"DYLP029A";"B1_mwf";"2016-09-15";"13:00:00";"1031,97";""
"DYLP029A";"B1_mwf";"2016-09-15";"15:00:00";"1045,13";""
